[1209/162224.763:INFO:CONSOLE(585)] "Uncaught TypeError: Cannot read property 'value' of undefined", source: file:///C:/Users/summerki/Desktop/2018-12-9/code/DCPC_Project/DirectConnectionPredictControl/bin/Debug/Charts/test.html (585)
[1228/170452.975:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170453.746:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170453.765:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170458.023:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170458.755:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170458.772:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170502.452:ERROR:backend_impl.cc(1065)] Critical error found -8
[1228/170503.031:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170503.762:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170503.779:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170508.036:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170508.768:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170508.784:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170513.042:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170513.772:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170513.789:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170518.046:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170518.778:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170518.794:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170523.051:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170523.783:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170523.801:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170528.071:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170528.789:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170528.809:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170533.085:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/170533.797:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
